rank,frequency,char_count,japanese,korean,category,notes
1,151,3,・・・,···,Punctuation,
2,81,3,潜水艦,잠수함,Unit,
3,63,3,軽戦車,경전차,Unit,
4,63,5,バズーカ兵,바주카병,Unit,
5,50,4,輸送ヘリ,수송헬기,Unit,
6,48,3,ガガガ,가가가,SFX/Special,
7,47,3,重戦車,중전차,Unit,
8,42,3,でも、,"하지만,",Dialogue,
9,41,4,できる。,할 수 있다.,Dialogue,
10,40,3,’蹇∪,[번역 필요],Other,
11,39,3,輸送船,수송함,Unit,
12,37,3,自走砲,자주포,Unit,
13,36,4,戦闘ヘリ,전투헬기,Unit,
14,33,3,、、∪,[번역 필요],Punctuation,
15,33,3,，，∪,[번역 필요],Punctuation,
16,30,5,ロケット砲,로켓포,Unit,
17,28,5,　ァ　　　,[번역 필요],SFX/Special,
18,28,3,輸送車,수송차,Unit,
19,27,3,　　∪,[번역 필요],Punctuation,
20,26,3,護衛艦,호위함,Unit,
21,26,4,攻撃力。,공격력.,Dialogue,
22,25,3,　、∪,[번역 필요],Punctuation,
23,24,3,宇巽妲,[번역 필요],SFX/Special,
24,24,3,。。∪,[번역 필요],Punctuation,
25,24,3,爆撃機,폭격기,Unit,
26,24,5,できない。,할 수 없다.,Dialogue,
27,24,3,アアア,아아아,SFX/Special,
28,22,4,対空戦車,대공전차,Unit,
29,21,4,劔劔劔劔,[번역 필요],SFX/Special,
30,21,4,みんな、,"모두,",Dialogue,
